2017-11-03T22:32:57.567Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:32:58.316Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:32:58.346Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4145,{"ONSince":"1509748373","OnFor":"95","TodayONTime":"6301","TodayConsumed":"26632670"}
2017-11-03T22:32:58.923Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1727535,{"ONSince":"1509574912","OnFor":"173567","TodayONTime":"56079","TodayConsumed":"93329020"}
2017-11-03T22:32:59.069Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:33:00.840Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4015,{"ONSince":"1509748373","OnFor":"95","TodayONTime":"6301","TodayConsumed":"26632670"}
2017-11-03T22:33:00.843Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:33:00.858Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1726730,{"ONSince":"1509574912","OnFor":"173568","TodayONTime":"56080","TodayConsumed":"93329020"}
2017-11-03T22:33:01.850Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:33:02.021Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4000,{"ONSince":"1509748373","OnFor":"95","TodayONTime":"6301","TodayConsumed":"26632670"}
2017-11-03T22:33:02.111Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:33:03.076Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1727655,{"ONSince":"1509574912","OnFor":"173571","TodayONTime":"56083","TodayConsumed":"93329020"}
2017-11-03T22:33:03.114Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:33:04.742Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:33:04.751Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1727885,{"ONSince":"1509574912","OnFor":"173572","TodayONTime":"56084","TodayConsumed":"93329020"}
2017-11-03T22:33:04.758Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,3995,{"ONSince":"1509748373","OnFor":"95","TodayONTime":"6301","TodayConsumed":"26632670"}
2017-11-03T22:33:06.702Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,3985,{"ONSince":"1509748373","OnFor":"95","TodayONTime":"6301","TodayConsumed":"26632670"}
2017-11-03T22:33:06.705Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:33:06.713Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:33:06.970Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1727270,{"ONSince":"1509574912","OnFor":"173575","TodayONTime":"56087","TodayConsumed":"95031214"}
2017-11-03T22:33:07.130Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
