2017-09-06T19:09:48.560Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:09:49.782Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2745,{"ONSince":"1504706176","OnFor":"18812","TodayONTime":"19919","TodayConsumed":"75408938"}
2017-09-06T19:09:49.794Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:09:51.014Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4000,{"ONSince":"1504724943","OnFor":"42","TodayONTime":"3557","TodayConsumed":"18557333"}
2017-09-06T19:09:51.093Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:09:52.147Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2730,{"ONSince":"1504706176","OnFor":"18815","TodayONTime":"19922","TodayConsumed":"75408938"}
2017-09-06T19:09:52.150Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:09:52.559Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4005,{"ONSince":"1504724943","OnFor":"42","TodayONTime":"3557","TodayConsumed":"18557333"}
2017-09-06T19:09:52.593Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:09:53.589Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2710,{"ONSince":"1504706176","OnFor":"18816","TodayONTime":"19923","TodayConsumed":"75408938"}
2017-09-06T19:09:53.604Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:09:55.115Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4015,{"ONSince":"1504724943","OnFor":"42","TodayONTime":"3557","TodayConsumed":"18557333"}
2017-09-06T19:09:55.129Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:09:56.245Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2715,{"ONSince":"1504706176","OnFor":"18819","TodayONTime":"19926","TodayConsumed":"75408938"}
2017-09-06T19:09:56.249Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:09:56.548Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4005,{"ONSince":"1504724943","OnFor":"42","TodayONTime":"3557","TodayConsumed":"18557333"}
2017-09-06T19:09:56.617Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:00.312Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:00.884Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2735,{"ONSince":"1504706176","OnFor":"19064","TodayONTime":"20171","TodayConsumed":"75419854"}
2017-09-06T19:14:00.908Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:14:01.893Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:02.310Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,78700,{"ONSince":"1504725225","OnFor":"16","TodayONTime":"3573","TodayConsumed":"18598980"}
2017-09-06T19:14:02.313Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2745,{"ONSince":"1504706176","OnFor":"19065","TodayONTime":"20172","TodayConsumed":"75419854"}
2017-09-06T19:14:03.444Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
